ra,dec,l,b,parallax,pmra,pmdec,g,bp,rp,parallax_error,ruwe
57.632906139419205,22.67686503555646,168.2894482499181,-24.02663079592365,0.7767002392975678,8.046328737065505,6.023335088668488,15.5358,16.025307,14.870837,0.041132454,1.0568413
57.589359859653314,22.655617610361617,168.27340214908023,-24.06965875744136,0.5281392112196495,6.254222389569307,-13.646973442492644,19.489449,20.07455,18.717876,0.42359996,1.058667
57.59390247497777,22.663342097778493,168.27093923187925,-24.061162695654783,,,,20.803223,21.175962,19.875223,,
57.60039405473261,22.670330780356124,168.27046182315564,-24.051968464983496,,,,19.91654,20.826118,18.052214,,
57.581479639661325,22.663108611202063,168.26197905658609,-24.069196003246088,0.214873310958389,2.6486777001512234,-1.167662570851545,16.137243,16.773323,15.359005,0.056649838,0.9913171
57.581987577476525,22.678161114729384,168.25104600911718,-24.057920396516696,7.494888687856219,-16.397348135954303,-16.435851881438754,9.356115,8.874727,8.231166,0.19688173,11.206444
57.58174407485443,22.678164625813025,168.25086430786456,-24.05807193244489,6.511338539547188,-13.478531517692376,-16.606389660793052,9.265724,8.848966,8.205673,0.33250067,10.014627
57.60216491840548,22.68119891886332,168.26359938008363,-24.042940007840624,3.1783574888205615,-4.360351642894966,-6.717656181202546,20.052952,20.906666,18.62571,0.7421162,1.1366884
57.60870302109703,22.703312420992628,168.25179552247835,-24.022712047807264,-0.0715911423593344,5.917951408753437,1.4862287973414867,20.735064,21.295687,19.599138,1.9768478,1.1726418
57.609072815270366,22.701859358024556,168.253158579575,-24.02353531469269,,,,20.884838,22.249334,19.73102,,
57.546248737921424,22.654240358079345,168.24272111218409,-24.097945641252956,0.9531875942407686,12.608959419319865,-26.470311510669625,19.661016,20.838495,18.594038,0.44847274,1.0250746
57.56458578479487,22.684604583898217,168.23340876423453,-24.064240982038168,0.1953245158340423,0.0939332047184149,-3.5023543003977857,17.85821,18.298765,17.232483,0.1297787,1.0135865
57.58035415378957,22.68337699833945,168.24592744189357,-24.0551580320026,1.4599602067923003,-3.809720924201156,-1.1527721955087231,12.973947,13.384861,12.371989,0.020362064,1.1134804
57.58956630947522,22.70284317852568,168.23808209068983,-24.035162182289486,0.7959969679034846,-2.062953692794788,-0.0903656521756413,15.720972,16.293167,14.964022,0.067876846,1.8105271
57.66721326482749,22.71555539613387,168.28557617974352,-23.97676912530967,,,,20.087494,18.604435,16.759779,,
57.669353296147904,22.68897935505364,168.30711605089152,-23.99473820602195,,,,20.936169,21.40437,19.643274,,
57.65894510034663,22.699601869629564,168.29149137325228,-23.99360606593186,,,,20.893755,20.913326,19.89197,,
57.647217743795274,22.70050569689429,168.28219982916897,-24.00037455196782,,,,20.897074,21.383461,20.110579,,
57.69307190233656,22.712831071689944,168.30660305216378,-23.96237355857925,4.46591423772231,-7.214951221747334,-12.981093058575391,20.422997,21.388592,19.04474,1.0778933,1.1155769
57.66687528016255,22.70166114203923,168.29576703273398,-23.987086617989245,1.168152281190867,-5.413538903010419,0.9510304993840968,19.783428,20.472319,18.697592,0.4648547,1.0240515
